1178,819,3日目,神父ジムゾン,白,質問,,,,,,質問:商,,人狼,商>>555ではペタちゃんに共感白を取っているように映ったのだけど、要素を取った点が分からなかったので、そこを知りたいわ。★商　商>>556のララちゃん評「目立たない～黒寄り」だけど、ララちゃんのどの辺が目立たないと見えたのかしら？商>>381の修年評、商>>555の年評、商>>556の書評、商>>791の年評、商>>793の書者評を見るに、「目立ち方」が白黒判断の基準に見えるのね。,,,,,,,,,,,,,,,,,,,,,
1179,820,3日目,宿屋の女主人レジーナ,白,考察,修:白寄り,,,,,,神疑いや疑われた時の反応がアタシの若いころみたいで共感白という感じね。,村人,樵>>786☆フリーデルの白要素かわいい。それはともかく客観的な白要素はアタシは拾えないわね。羊が>>807で出してくれてる。神疑いや疑われた時の反応がアタシの若いころみたいで共感白という感じね。アタシは今も若ry状況黒は宿>>755の通り取らない。ただ修はロラ推奨なのよねー、アンタ村で吊られて霊ロラならもう後がないのはわかってんの？と思ったわ。修吊るならアタシに処刑させてね。,,,,,,,,,,,,,,,,,,,,,
1180,821,3日目,少年ペーター,白,,,,,,,,,人狼,者>>812>>816書.>>738を再度読み返しましたが、旅が抜けているのです。又、ディタ兄貴の1d発言も見返しましたが、者>>304[旅視点漏れ疑惑だが～]を見落としてました。僕自身のミスです。ディタ兄貴の考察作成時に書>>738を参考にしたので、どこからニコ兄貴を疑ってたのか不明だったので質問しました。それと、妙狼視は自分の妙狂ロックを外す為です。者>>758は読んでませんでした。@6,,,,,,,,,,,,,,,,,,,,,
1181,,3日目,神父ジムゾン,灰,,,,,,,,,人狼,よく見たらアルビンはそこまで黒くなかった件。レジとあと１人吊りたいかなー、この展開を鑑みるに。しかし白くなりすぎると「何で生きてるの？」ってなるから、適度な疑いを掛けてきてほしいっすな。吊られたらアレだけどｗ,,,,,,,,,,,,,,,,,,,,,
1182,822,3日目,神父ジムゾン,白,,,,,,,,,人狼,で、基準は見えるんだけど、一部に要素の拾い方が掴めない箇所があるの。アタシは、ララちゃんは自分の考えを前面に押し出しているように見えて、割と目立っていたと思うのよね。例の妙>>218への思考隠しとか。ちなみにリデルちゃん評（商>>381）も少し分からなかったけど、ここに関しては、トマちゃんへの回答（商>>790）を見て解消したわ。,,,,,,,,,,,,,,,,,,,,,
1183,823,3日目,ならず者ディーター,白,質問,,,,,,質問:羊,,村人,羊>>817ロラ誘導か納得した。おぅ、ロラしてーぜ羊>>730「狼が信用取っている妙を切り捨てたのはフリーデルが真占ヨアヒムに占われるのを防ぐから」がわからん。修占懸念での青襲撃でも、妙は修白出してる。霊狼としてライン繋ぐのになんか不利な事あるか？羊は妙狂に見てるよな？ラインで真視取れる可能性高い＝修白囲い、と思うがな。修狼ならば逆に霊狼はライン繋ぎにいくんじゃ？と思うが★どう思う？,,,,,,,,,,,,,,,,,,,,,
1184,824,3日目,神父ジムゾン,白,質問,,,,,,質問:商,,人狼,★商　商>>792のトマちゃん評「各自の～印象」だけど、ここが結論の「微黒印象」に繋がる理由は何かしら？ついでにアタシのトマちゃん評というか、思考開示を軽くしておくわ。トマちゃんは樵>>660「発言にブレが出ない狼はいないと思う」とあり、スタンスを見て発言にブレが出ないかどうかを見ていると思うのね。よって、ここについては違和感を感じなかったの。,,,,,,,,,,,,,,,,,,,,,
1185,825,3日目,シスターフリーデル,白,考察,屋:非霊能者寄り,,,,,,,狩人,霊真贋狼側には占真贋が見えた状況で真襲撃。ヨアヒム真ニコラス白という情報は増えましたが、いかんせんほとんどがリーザ真妄信だったのが狼を探す材料としては難しいのにゃ。ただ言えるとしたら、ライン戦は避けたということにゃ。理由があるとすれば、ライン戦になったときに負担が大きい霊騙りがアキレス腱だったということかにゃ。リーザは不安はないでしょうから、ここから考えるとどちらかと言えばオットー偽となるにゃ,,,,,,,,,,,,,,,,,,,,,
1186,,3日目,旅人ニコラス,青,,,,,,,,,村人,ヨアヒムの妖怪AAを探していたのですが、百々目鬼のAAが見つからなかったのデス！見つけた妖怪AAの中で9行以内に収まるのが、河童と塗り壁だったのデス。唐傘お化けやがしゃどくろは9行じゃはまらなかったのデス。ジブン、日本の人魚は妖怪イメージだったのですが、人魚姫とかの童話があるから、人魚はマーメイドのイメージが強いのデス？墓下に来てほしいのは、狼デス。墓下に狼が来れば、村は勝てるのデス。,,,,,,,,,,,,,,,,,,,,,
1187,826,3日目,神父ジムゾン,白,質問,,,,,,質問:商,,人狼,だから、アルちゃんがここを要素に微黒印象を持ったのは何でかなって。★商　商>>795のアタシ評だけど、神>>396が基点なのね。何でこれを最初黒視して、そして何をきっかけに白視に変わったのかしら？アルちゃんは流し読みしてたけど、精読したら全然掴めなかった…。「演技感があるかどうか」「共感出来るかどうか」「目立つかどうか」これらを判断基準にしているっぽいのは見えるのね。,,,,,,,,,,,,,,,,,,,,,
1188,827,3日目,ならず者ディーター,白,考察,修:白寄り,,,,,,「わたくし占い希望理由は黒とみていますのでまだ納得の範囲」とか疑い返しで自分の代わりに吊られるSG作りしてねぇのは微白かと思うが,村人,修：>>769「わたくし占い希望理由は黒とみていますのでまだ納得の範囲」とか疑い返しで自分の代わりに吊られるSG作りしてねぇのは微白かと思うが、妙吊の間に修白要素稼ぎでLWが他灰黒塗りしてる、とかなんとか考えると素直に取れねーぜ。修自身の発言から白も取れねーが黒も取れねー。だが、今日の襲撃は者>>823参照の通り、修狼ならライン戦になったんじゃねーかと状況から見りゃ白度上がってんじゃね？と思う,,,,,,,,,,,,,,,,,,,,,
1189,828,3日目,宿屋の女主人レジーナ,白,希望,,吊り希望:妙,,,,,,村人,屋>>774屋狼でも妙が作った絶好の真占抜けるチャンスは逃さないと思うわ。それに屋狼なら青老はラインつながるからライン戦できないわよね。改めて今日は【▼妙】セット済み。ちょっとアレなので仮眠とるわ、ごめんなさいね。夜明けいられないかも。手数きついので霊決め打ちに一票。屋or老はまだ決め打ってないわ。老は鳩だしリアルきつそうだけど発言お願い。現状だと真視キープしたい寡黙狼の疑惑が残るわ。,,,,,,,,,,,,,,,,,,,,,
1190,,3日目,旅人ニコラス,青,,,,,,,,,村人,カタリナがツッコミ入れまくって困ってるディーターは、狩人っぽいのデス…。カタリナはそのことに気付いてないのデス？それとも、羊狼で気付いててわざとツッコミ入れてるのデス？質問多めで思考開示が少ない、なるほどデス。フリーデルのRPの所為かと思ったのですが、それが原因のようデス。昨日喉使い失敗して、喉ないのにしつこく回答求められたのは参ったのデス…。ジムゾンは気遣ってくれたのに…。@3,,,,,,,,,,,,,,,,,,,,,
1191,829,3日目,行商人アルビン,白,ライン,,,,,ライン:修老,,旅白の結果から，初日の狼側の●修回避を考察する人も多いでしょう。フリデを吊って黒ならば，老or(不本意ですが)私の狼の可能性大。逆に白ならば，老の真霊度がより向上，斑ならラインがハッキリしてきます。,村人,フリデ>>810 イエス。分かり辛くてすまにゃい。>>813 2日目とは状況がガラリと変わっています。旅白の結果から，初日の狼側の●修回避を考察する人も多いでしょう。フリデを吊って黒ならば，老or(不本意ですが)私の狼の可能性大。逆に白ならば，老の真霊度がより向上，斑ならラインがハッキリしてきます。吊って損なしフリデさん。それに対して「黒視されてないにゃ」と言われても...というのが，理由です,,,,,,,,,,,,,,,,,,,,,
1192,830,3日目,負傷兵シモン,白,,,,,,,,,村人,旅視点漏れ疑惑灰の前に落としてみる。旅白判定後で結果オーライだったかも旅の3狼発言は狼にしてみれば視点漏れ疑惑かけてSGにするのに好都合おそらく囁きで相談して攻める係とスルーする係は決まってそうなんだよなってことで旅の3狼発言をどう見てるか簡単に攫ってみる視点漏れを利用してSGにしたかった狼が黒要素組に最低１人他の潜伏狼に任せて意識して触れなかった狼がスルー組に最低１人はいると思う,,,,,,,,,,,,,,,,,,,,,
1193,831,3日目,負傷兵シモン,白,,,,,,,,,村人,視点漏れ疑惑を黒要素として処理者(>>304)　老(>>398)　神(>>404)　樵(>>419)視点漏れ疑惑に色を付けず宿(>>376)　年(>>273)　青(>>591)　屋(>>286)　書(>>315)　羊(>>422)　商(>>382)視点漏れ疑惑スルー妙　尼髭使って簡単に攫ったりしただけだから見落とし、見間違いはあるかも,,,,,,,,,,,,,,,,,,,,,
1194,832,3日目,負傷兵シモン,白,,,,,,,,,村人,3狼を最初に指摘した年は１日目のうちは再度触れることはなし俺には最初から思考漏れからのSG狙いの様子には見えないかったスルー組がもう少しいるかと思ったが触れてない奴は少なかった旅を見るときには注意が行きそうだが修はそれらしい発言見当たらず。>>375で樵評のときにかすった程度妙は俺の中では狂なので、同じように触れていないように見える修が気になる黒処理組では老,,,,,,,,,,,,,,,,,,,,,
1195,833,3日目,負傷兵シモン,白,,,,,,,,,村人,占い判定後に>>478で思考漏れと断定。性格要素で理解できるが結論急いでる印象他ではそういう傾向は見えない気がするんだがな黒扱い前提の発言に見える気がする後は樵が気になるな>>287では屋の指摘に対して旅の指摘で納得しているかのような態度>>419では黒要素として思考漏れを指摘説明は理解したが納得してないだけと言われればそこまでだけどこの３人からは旅SGの意図が見える気がする,,,,,,,,,,,,,,,,,,,,,
1196,,3日目,神父ジムゾン,赤,,,,,,,,,人狼,霊決め打ち展開になる可能性があるので、クラウドは頑張って下さい。ただ、くれぐれもリアルには無理のないように。,,,,,,,,,,,,,,,,,,,,,
1197,834,3日目,シスターフリーデル,白,質問,,,,,,質問:宿,,狩人,レジーナ>>809「ぬりかべ的にはローラー」はネタということで良いですにゃ？レジーナはどこかで決めうち面白いと言っていたのですにゃ。レジーナ>>802「あとがないのはわかってるの」わたくしの深刻さが見られないということですにゃ？そう感じるのはねこみみのあたりだけですかにゃ？わたくしにゃーにゃー言っていますが、内容はちゃんと説得と意見と情報集めをしていますのですにゃ。,,,,,,,,,,,,,,,,,,,,,
1198,,3日目,行商人アルビン,灰,,,,,,,,,村人,>>826細かく読めないんっすよ！サーセン・・・,,,,,,,,,,,,,,,,,,,,,
1199,835,3日目,神父ジムゾン,白,質問,,,,,,質問:宿,,人狼,でも要素の取り方が分かり辛くて、ブレなどが掴めなさそうなの。吊り手がきつい以上、対話で白黒を探りたい。色はまだ見えないわ。次、ぬりｋ…レジーナの姉御は神>>640に答えてほしいわ。あと、質問。★宿　宿>>749「悩ましいけど多分村ね」とあるのだけど、宿>>750で「年商に1Wかなー」と狼視対象に含めた理由は何かしら？それと、年商が両狼である可能性は考えていなかった？,,,,,,,,,,,,,,,,,,,,,
1200,836,3日目,少年ペーター,白,,,,,,,,,人狼,修>>813☆占回避行為で見ています。確かに、修>>769[SG懸念SG懸念とかまとめ期待とか、そんな納得いかない理由での希望なのですにゃ。そんなので希望される身にもなってみるにゃ。]はよく解ります。でも、修>>285[割れるならまだしも]と、斑になるのは納得でしょうか。中途半端な回避行為に見えてしまうのです。リデル姉貴が狼なら割れるので納得したと考えてます。,,,,,,,,,,,,,,,,,,,,,
1201,837,3日目,少年ペーター,白,考察 信頼度 質問,修:黒寄り,,,修:信頼度低,,質問:修,,人狼,修>>770>>772でアル兄貴モリ老師にＧＳを要求しているにもかかわらず、リデル姉貴自身のGSがないのです。ここはマイナス印象として見てます。なので、この質問を出します。★リデル姉貴のＧＳを出してください、お願いします。,,,,,,,,,,,,,,,,,,,,,
1202,838,3日目,司書クララ,白,考察 希望 質問,羊:白寄り,吊り希望:妙,,,,質問:商,リナさんが今日はインターバルにしようといった間の取り方は、羊微白を感じました。私的に非常に助かったこともあり。,村人,こわくないよー。★アルさん　どうか私の>>793はなしで考察お願いします。リナさんが今日はインターバルにしようといった間の取り方は、羊微白を感じました。私的に非常に助かったこともあり。【▼リーザ】現状、灰の黒予想は、[修宿]＞[修商]　別ラインとして修宿白としたそれ以外の狼はまだ絞り切れず。白視：羊以下、一挙投下で失礼。,,,,,,,,,,,,,,,,,,,,,
1203,839,3日目,司書クララ,白,,,,,,,,,村人,今日は頭の整理も兼ねて今考えていることをまとめ。明日の下準備代わりに。現在目につくのはジムさんとレジさんの対立感。ここがホットです。平読みでは、神からは狼探しの姿勢が読み取れ、宿の方が占理由があいまいな神黒塗りに見える。で、ここでいったん頭をリセット。まず、私の狼を探す手法について。発言の整合性を追いながらその当人の力と狼探しの姿勢を比べて黒を見ていくというのが基本路線でして、（続）,,,,,,,,,,,,,,,,,,,,,
1204,840,3日目,司書クララ,白,ライン,,,,,ライン:修宿,,1d木神を黒塗りしてる感があった修が黒く見え、それを2d後半頃から庇いだしてなおかつ根拠もあいまいな宿に修宿つながりを覚える,村人,（続）このやり方でいけば「1d木神を黒塗りしてる感があった修が黒く見え、それを2d後半頃から庇いだしてなおかつ根拠もあいまいな宿に修宿つながりを覚える」という考察に。ですが、（私は心底苦手なのですが）感覚めいたものを狼との戦いに取り入れるタイプがいて、宿修がその手の村人だとすると、宿修白も考えられなくもない、とゆれゆれにブレてみると。感覚で狼らしき場所にあたりをつけて、そこを（続）,,,,,,,,,,,,,,,,,,,,,
1205,841,3日目,司書クララ,白,,,,,,,,,村人,（続）どう追い詰めていくかという思考の持ち主はいますし、強くて当たる人も確かにいますし。私はそういう人を黒視する傾向にあるわけですが、もしも宿狼でしたら私はなぁなぁであしらって後のミスリーダーなり吊り手稼ぎなりに使えばよさそうかしら、と自分を振り返って思うわけですね。書白視気味に扱い、修黒を考え直せとかいうのは、1d2dで私が見せた頭の固そうな考察から書白を知って取り込みに来た宿黒を考え出す（,,,,,,,,,,,,,,,,,,,,,
1206,842,3日目,司書クララ,白,,,,,,,,,村人,（続）危険とか宿なら察しそうに思えるわけで、宿狼でしたらちょっと踏み込んでる感あり。仮に修が感覚込みの狼との戦いをしているとなると、黒塗りに感じた1d木神考察の強引さも修白でもあり得そうかと。狼っぽいところにあたりをつけて占理由を拾ってきた、でそりゃ黒く見えるなと。修狼でしたら木神という高度な相手をいきなり攻撃するのも、狼にしてはリスキーかなと。,,,,,,,,,,,,,,,,,,,,,
1207,843,3日目,司書クララ,白,,,,,,,,,村人,そうした「感覚」も念頭に置きながら考察を組み直します。…苦手な分野なのですが。あと感覚を言うならオトさんも感覚派に入ると言えなくもなさそうですが、オトさんは結果ありきな発言になっていて、私では手に余ります。神宿に関しては、両白が無駄に疑いあい＞どちらかが狼臭を察知した高度な戦い＞＞神宿両狼に見えますかね。これで両狼は流石になさそうかと思います。@0,,,,,,,,,,,,,,,,,,,,,
1208,844,3日目,シスターフリーデル,白,質問,,,,,,質問:兵,,狩人,まあ今日は説得多めなのは、大目に見てくださいなのにゃ！シモン>>832根拠を覆すようですが、わたくしは確か>>375ニコラスの言い訳がしどろもどろだったのを材料に取ったのですにゃ。この程度はスルー組ですかにゃ？ちなみにその「それぞれに最低一人ずついる」というのは、根拠はあるのですかにゃ？感覚かにゃ？全員だと一網打尽だからなんとなくバランスという感じですかにゃ。,,,,,,,,,,,,,,,,,,,,,
1209,845,3日目,羊飼いカタリナ,白,,,,,,,,,村人,フリーデル>>818　「今考えると」は、「今考えるとさほどは白要素じゃなかったかも」という意味だよ。●商の理由は書いてあったけど、一日目から一貫して白だと言っていた人をそう簡単に●希望に挙げるものかなーと(フリーデルは占いは黒狙い志向なんだよね)、そしてそう簡単に撤回できるものかなーと。●商は死に票ってほど死に票じゃない、重ねとしてありえないわけじゃないのも気になる。黒要素はどっちかというと初日,,,,,,,,,,,,,,,,,,,,,
1210,846,3日目,羊飼いカタリナ,白,質問,,,,,,質問:宿,,村人,によるところが大きいよ。☆ディーター>>823　ここで言う「切り捨て」は青を襲撃して純粋信用勝負に行かなかったことね。尼狼の場合、占をそのままにして尼が逆パンダになったら、即吊りで灰狼1が確定するから、村に楽させる事になる。あんまり狼が取りたい手じゃなかったと思うなー。★レジーナ>>741　どっかで言っていたらゴメン、青襲撃が宿の黒要素なのはなぜ？,,,,,,,,,,,,,,,,,,,,,
1211,,3日目,少年ペーター,赤,,,,,,,,,人狼,>>シャインシャインの発言を見ていると、改めて感服します。狼陣営【屋商年】説ですね。見事です。,,,,,,,,,,,,,,,,,,,,,
1212,,3日目,神父ジムゾン,赤,,,,,,,,,人狼,いや、[霊宿？＋妙]です。？が誰かを探るふりをしつつ、宿黒視する予定ですね。今日の襲撃に関してですが、▲羊にしましょう。,,,,,,,,,,,,,,,,,,,,,
1213,,3日目,神父ジムゾン,灰,,,,,,,,,人狼,書>>843　「高度な戦い」にちょっと笑ったｗしかし強い人多いな…多弁だらけだし議事読みがなかなかきつい。クララは喉枯れが非狩か？と少し思ったけど、▼妙だしねぇ。ただ、狩人としては前に出すぎな印象もあるけれど。,,,,,,,,,,,,,,,,,,,,,
1214,,3日目,少年ペーター,赤,,,,,,,,,人狼,>>シャイン神>>835の意図はそうなんですね、僕もまだまだです。▲羊了解です。,,,,,,,,,,,,,,,,,,,,,
1215,,3日目,神父ジムゾン,赤,,,,,,,,,人狼,羊は割と守られていそうな気もするのですが、いってみましょうか。狩人が誰かにもよりますが、ディタの襲撃懸念が「ん？」と思いました。とりあえず今から離席するので、また後で。,,,,,,,,,,,,,,,,,,,,,
1216,,3日目,少年ペーター,赤,,,,,,,,,人狼,>>シャイン連投すいません、▲羊はリデル姉貴狼説の補強と言うのもあるのでしょうか？今日のリデル姉貴はリナ姉貴をロックしてますので・・・。,,,,,,,,,,,,,,,,,,,,,
1217,,3日目,司書クララ,灰,,,,,,,,,村人,無駄に思考を垂れ流してるよわたし。思考開示を重んじる人が多そうなのでこの形式をとってみましたが。でも本当、感覚込みの空中戦はもうダメダメのダメダメダメなのでモード切り替えに時間が欲しいというのが本音。,,,,,,,,,,,,,,,,,,,,,
1218,847,3日目,木こりトーマス,白,,,,,,,,,村人,商>>790　返答ありがとなんだな。無難な動きが黒いと言いつつ動きが無難じゃないのがアピにしてはあからさまってことかな。まあアルの要素の取り方としては理解。羊>>807　返答ありがとなんだな。甘いに関しては「狂人のメッセージ～のどちらかまで含んでたけど、それはいいとして。ふむ。僕はリズが真視されたからこそ、今後ヨアが巻き返さないように▲青にしたのかなと思ったんだけど。,,,,,,,,,,,,,,,,,,,,,
1219,848,3日目,木こりトーマス,白,,,,,,,,,村人,「2-1や3-1にせず2-2～」ってのは、2-2は占抜きにくい陣形だしなるほどって感じ。うーん、でもだからこそ抜けそうなうちに▲青をしたいようなという思考ががが。修>>810　えーと、だから妙青どっちが真占か知るための▼旅は真霊としては妥当な行動なんだけども。うーん、単独感はあるけども。兵>>833　あー、樵>>287の時点では保留してた。で、試行錯誤して樵>>419が出た感じなんだな。,,,,,,,,,,,,,,,,,,,,,
1220,849,3日目,シスターフリーデル,白,反発 質問,,,,,,反発:年>>836 質問:年,,狩人,ペーター>>836 まとめると>>285が占回避行為で、斑上等と言っているのが中途半端（本気で避けたいようにも見えない）。これは狼だから本気で避けなかった、という意味？でも狼なら中途半端ではなく本気で避けると思いませんかにゃ？>>837失敬なのですにゃ。昨日時点なら白:樵宿書＞年者＞羊兵＞神＞商:黒ジムゾンはステルス感がなくなってきていますが、とりあえずなのにゃ。疑問はありますですか？,,,,,,,,,,,,,,,,,,,,,
1221,,3日目,旅人ニコラス,青,,,,,,,,,村人,零時参分をお知らせシマス。今日は零時にお知らせできなかったのデスorz,,,,,,,,,,,,,,,,,,,,,
1222,,3日目,旅人ニコラス,青,,,,,,,,,村人,楽しい独り言作戦：たくさん居る姉を紹介していくのデス。一番上の姉のアンジェラは、その名の通り天使のような歌声で100隻以上の船を難破させているのデス。船の難破が趣味と化し、目標は10000隻らしいのですが、今何隻か忘れたらしいのデス。二番目の姉のブリジットは、難破した船の荷物を集めるコレクターなのデス。船の難破が得意ではないので、姉に頼んで目的の荷物を積んでいる船を難破してもらっているのデス。,,,,,,,,,,,,,,,,,,,,,
1223,850,3日目,神父ジムゾン,白,質問,,,,,,質問:年,,人狼,年>>803>>804　回答ありがとう。１の理由は了解、追加の質問よ。★年　回答で「黒が出る期待もあった」とあるのだけど、年>>529でのリデルちゃん評は「狼なら～様子見」とあるのよね。様子見から占いに至ったのはSG保護も兼ねてということだと思うけど、今日のGS（年>>803）でリデルちゃん最黒に至ったのはどの辺からかしら？２、３については了解よ。ロックが解けてきているかしら。,,,,,,,,,,,,,,,,,,,,,
1224,851,3日目,ならず者ディーター,白,考察,修:白寄り 神:白寄り,,,,,,妙狂ならば、修狼を白囲した妙狂を切り捨てる霊狼、が考えづらい。この状況は修白の可能性高いと考える神：今日商への質問が多い。辿って見たが、違和感は無い。商の性格要素なのかと俺は思うが、商狼ならば俺は捕まえそこねるだろうから、思考読みやすい相手のこういった行動は逆にありがたい、白目維持,村人,羊>>846宿>>755同意だが、狼は真占を消したいものだと思うよって、俺にとって青襲撃は修黒要素では無い。妙狂ならば、修狼を白囲した妙狂を切り捨てる霊狼、が考えづらい。この状況は修白の可能性高いと考える神：今日商への質問が多い。辿って見たが、違和感は無い。商の性格要素なのかと俺は思うが、商狼ならば俺は捕まえそこねるだろうから、思考読みやすい相手のこういった行動は逆にありがたい、白目維持,,,,,,,,,,,,,,,,,,,,,
1225,,3日目,ならず者ディーター,灰,,,,,,,,,村人,今日襲撃ならばミスリ懸念で考察あんま出さないのもありだろうか…考察に自信が全く無いぜ…これで羊襲撃とかだったらおもしれーんだが…俺がな…まだ喰われたくねぇ…おい誰かもっと俺を殴れ…！,,,,,,,,,,,,,,,,,,,,,
1226,852,3日目,少年ペーター,白,考察 質問,修:人狼寄り,,,,,質問:修,リデル姉貴狼なら斑になることが確定してますので、修>>285[割れるならまだしも]発言が狼としての発言ミスに見えるのです。,人狼,修>>849えっと、僕の言い方が悪いかもしれませんが、リデル姉貴狼なら斑になることが確定してますので、修>>285[割れるならまだしも]発言が狼としての発言ミスに見えるのです。質問します。★なぜ、斑になることは納得なのでしょうか？@3,,,,,,,,,,,,,,,,,,,,,
1227,,3日目,神父ジムゾン,赤,,,,,,,,,人狼,年>>852は黒塗りを指摘される気がします。修>>285では「斑になるならまだしもお弁当」とあって、「お弁当＝確白」ですし、斑になるなら情報が増えるので良い、という意味かと。指摘が来ると思うので、反応を考えておいて下さい。クラウドは大丈夫でしょうかね？　かなり多忙のようですが。,,,,,,,,,,,,,,,,,,,,,
1228,853,3日目,シスターフリーデル,白,,,,,,,,,狩人,カタリナ>>845了解なのですにゃ。説得に答えてくれるとほっとするのにゃ。あえていえば、わたくしは狼が見せる隙を突きたい派なので、評価は一瞬で変わるのですにゃ。よく突っ込まれるですが。。こればかりは理屈ではないですので説得はできなさそうですかにゃ。初日どこが疑問だったかみてくるのですにゃー！！クララ>>843喉枯れにゃ。。>>772昨日クララの疑問に説明しているので見て欲しいのにゃ。,,,,,,,,,,,,,,,,,,,,,
1229,,3日目,老人モーリッツ,赤,,,,,,,,,人狼,なんとか戻れたぞぃ汗読んでくる,,,,,,,,,,,,,,,,,,,,,
1230,,3日目,少年ペーター,赤,,,,,,,,,人狼,>>シャイン了解です。勿論、ここでストップする予定です。その解答も予測しています。反応についても問題ありません。シャインが突っ込んでも大丈夫です。,,,,,,,,,,,,,,,,,,,,,
1231,854,3日目,行商人アルビン,白,,,,,,,,,村人,ジム姉 >>815，>>819,>>824,>>826なんか初絡みですね。ご質問の時系列の回答になってるわよ。> どの辺を見て～両者とも初日から質問飛ばして考察もし，慣れてる感じでした。でも黒白の判定には使えないよね...てところです。正直なところ，無理して灰考察したってのはありますねぇ。> アタシは結構違って見えたのだけど。(つづく),,,,,,,,,,,,,,,,,,,
1232,855,3日目,行商人アルビン,白,,,,,,,,,村人,(続き)年>>521,>>522と商>484,>>485ですね。今読むと，「考え方近い」というより「結論一緒なので，年の理論に納得」ですね。>要素を取った点1dの■5や，自信の推理をずばば～と発言されるところに，承認欲求の強さを感じ，それが演技に感じ無いからです。> ララちゃんのどの辺が～考察をキチンと落とすところと，トリッキーな発言がないところです。(つづく),,,,,,,,,,,,,,,,,,,
1233,856,3日目,行商人アルビン,白,,,,,,,,,村人,(続き)> >>792のトマちゃん評「各自の～印象」だけど～自分が狼なら多分そうなるからです。狼として思考しながら，表では当たり障りの無い会話します。> 何でこれを最初黒視して～神狼と仮定して，ヨハさん(狂)への「黒出すな」指示に見えました。2dは，私は妙真と見てましたから。3dはその逆です。狼ならむしろ黒出して欲しいと思うので。,,,,,,,,,,,,,,,,,,,,,
1234,,3日目,老人モーリッツ,赤,,,,,,,,,人狼,お酒飲んでしまってちょっとフラフラなのじゃ,,,,,,,,,,,,,,,,,,,,,
1235,857,3日目,シスターフリーデル,白,,,,,,,,,狩人,トーマス>>848妥当というのが理解できないのですにゃ。真占を知るためとは言え、白だと予想している人は吊りたくないのにゃ。しかも自分視点でしか確定しないのですにゃ。さらに自分が信じられていないなら、真占も信じてもらえなくなるかもしれないですにゃ。その状況で自分だけ分かればいいというのは自分勝手ではないのですかにゃ？？というような思いが所々にあるのですにゃ。。,,,,,,,,,,,,,,,,,,,,,
1236,858,3日目,ならず者ディーター,白,質問 反発,,,,,,質問:年 反発:年>>852,,村人,年>>852★なぜ、「リデル姉貴狼なら斑になることが確定」？修狼ならば班も黒確もあるんじゃねーのか？班納得＝黒じゃねーだろ年は慎重派っつーより、場合分け苦手でロックが中々解けないタイプに思える。これだ、と思った発言から辿って考察してるから穴があるように思えるんだ>>821参照。精査、と言う割にな…。俺は性格要素の範疇で年黒あんま見てねーが、もし年白ならSGにされかねねぇぞ？,,,,,,,,,,,,,,,,,,,,,
1237,,3日目,少年ペーター,赤,,,,,,,,,人狼,>>クラウド大丈夫ですか？今の所、霊決め打ちの話も出ているので、無理せず頑張ってください。,,,,,,,,,,,,,,,,,,,,,
1238,,3日目,行商人アルビン,灰,,,,,,,,,村人,リザ様劇場は無いの？無いの？,,,,,,,,,,,,,,,,,,,,,
1239,,3日目,神父ジムゾン,赤,,,,,,,,,人狼,何回も言いますが、「さくせん：りあるだいじに」ですよ。オットーも来ていませんが、大丈夫でしょうか。しかし泡盛飲みたいなあ、夜明けが来たら飲もうかな。あと、スコールはディタから指摘が来ましたね。,,,,,,,,,,,,,,,,,,,,,
1240,859,3日目,羊飼いカタリナ,白,,,,,,,,,村人,フリーデル>>814　それが私の役割かはともかく、ちょっとやってみると、フリーデルからのラインで気になるのはトーマスとレジーナかな。ただレジーナは露骨すぎというか、近すぎの感がある(>>820で客観的がないのに白、というとか)、確霊じゃないからアリかもしれないけど。一方トーマスは「>>419今日●を当てる必要はない」とか今日早めの>>748で尼黒要素否定とか、私の>>754を「甘い」って切って捨て,,,,,,,,,,,,,,,,,,,,,
1241,860,3日目,少年ペーター,白,,,,,,,,,人狼,者>>858了解しました。確かに、軽率すぎて恥ずかしいです・・・。リデル姉貴、すいませんでした。,,,,,,,,,,,,,,,,,,,,,
1242,861,3日目,羊飼いカタリナ,白,質問,,,,,,質問:樵,,村人,るとか、尼が割とピンチな場面でさりげなく尼を持ち上げようとしているんだよね。その割には>>785でどっちつかずな評価をしているのが気にはなる。あくまで仮定の話だけどね。★トーマス>>847　そこまで含んで「甘い」のか。じゃあ、トーマスが考える甘くない読みって、例えばどんなのがある？ディーター>>851　青襲撃を尼の黒要素に取らない考えはありえるとは思うよ。「妙狂ならば～」は不同意。対抗襲撃,,,,,,,,,,,,,,,,,,,,,
1243,,3日目,少年ペーター,赤,,,,,,,,,人狼,>>シャインいいですね・・・。僕も沖縄で勤務してましたので、泡盛（シマー）飲みたいです。,,,,,,,,,,,,,,,,,,,,,
1244,862,3日目,羊飼いカタリナ,白,反発,,,,,,反発:者>>851,,村人,があったときに狂人が白出すのは当たり前、妙を切り捨てる気がないならそもそも青襲撃が間違っていることになるから、尼の状況白要素にはならないと思うよ。あと、私は青襲撃は楽な襲撃ではなかったと思うけどね。繰り返しだけど、3-1や2-1じゃなくて昨日の信用状況なのに真襲撃、ってのは、それなりに何らかの事情があったからだと考えるよ。,,,,,,,,,,,,,,,,,,,,,
